shared name	BHI_2011_EGDe[RNASeq]	BHI_2014_EGDe[RNASeq]	BHI_Long_2014_EGDe[RNASeq]	BHI_Medium_2014_EGDe[RNASeq]	BHI_Short_2014_EGDe[RNASeq]	High_10_Plantarum_Pediocin_2014[RNASeq]	High_180_Plantarum_Pediocin_2014[RNASeq]	High_60_Plantarum_Pediocin_2014[RNASeq]	High_60_Proteinase_Plantarum_Pediocin_2014[RNASeq]	LB_2014_EGDe[RNASeq]	LB_B12_2014_EGDe[RNASeq]	LB_B12_EA_2014_EGDe[RNASeq]	LB_EA_2014_EGDe[RNASeq]	Lmo0753_Rhamnose_2013_EGDe[RNASeq]	Macrophages_2011_EGDe[RNASeq]	Macrophages_2014_EGDe[RNASeq]	Macrophages_Long_2014_EGDe[RNASeq]	Macrophages_Medium_2014_EGDe[RNASeq]	Macrophages_Short_2014_EGDe[RNASeq]	Mid_180_Plantarum_Pediocin_2014[RNASeq]	Mid_60_Plantarum_Pediocin_2014[RNASeq]	WT_2012_EGDe[RNASeq]
lmo0001	4.247773223	3.714975378	3.440310157	1.242000143	1.464237823	2.316468239	1.788897718	2.272309911	2.095120962	1.742273451	1.783202995	1.435516348	1.583593174	0.841766176	1.737728328	2.218979641	2.057360809	2.075547907	1.951082755	1.704624558	2.107158817	1.614085466
lmo0002	7.075485858	1.824347906	2.956921728	1.718293386	1.395261175	2.067931974	2.022880399	1.916921304	1.804470611	1.527468226	1.527361777	1.467797903	1.424414688	0.91284585	2.202870884	1.542911531	2.655591598	0.838503082	1.038121748	1.592115601	1.7879407	2.255753434
lmo0003	0	-2.210417512	-1.09390582	-0.069410379	0.451639266	-2.500690132	-2.747088276	-2.761034558	-2.652636339	-2.017887326	-1.957479614	-2.677011577	-2.360341935	0.199290734	-4.240179951	-4.12464758	-5.34038473	-1.517430897	-1.356435048	-3.806306876	-2.513763928	-1.217245334
lmo0004	5.858498819	3.16435836	2.361037783	1.884634987	1.017119345	2.605331272	3.428926521	2.477709408	2.51252898	2.143199789	1.918022462	2.132198901	1.978495678	2.088358935	1.763491424	1.72118149	2.828551078	1.789691263	1.831703951	2.742829231	2.50610733	1.607427084
lmo0005	5.117639309	2.824486419	2.20179733	0.679828377	0.864133931	2.101400074	2.674506607	2.036836321	2.009655924	1.489265222	1.319250576	1.347408788	1.294285052	3.390997006	-4.240179951	1.610956339	3.087691568	0.859517766	0.804454638	1.783155293	1.951550306	0.675171042
lmo0006	4.730330283	3.26055275	2.666106925	0.323281605	0.252249338	1.934696847	2.79938443	1.940883945	1.827456443	1.360896013	1.262994379	1.083398603	1.035838847	2.154233972	-4.240179951	2.384004429	2.836159321	1.10944852	1.245748268	1.627009091	1.831239139	2.329985247
lmo0007	3.348563364	3.601147106	3.075104002	0.626418625	0.55871419	2.107881754	3.173301103	2.098003573	1.964686059	1.532209543	1.447882413	1.386051852	1.351577643	1.360467856	1.060910891	3.344320631	3.1367773	1.130473681	1.330953488	1.978758879	1.922160884	3.354022001
lmo0008	3.087812607	0.408992947	0.345239073	-0.018154761	0.192993874	0.537211413	0.076651092	0.756553961	0.542464675	0.50435424	0.460895765	0.289267805	0.370731539	0.661917368	-4.240179951	0.831850781	1.537857808	-0.016443785	0.18698733	-0.774590755	0.48118434	0.575017412
lmo0009	0	0.572941503	1.090059231	-0.107879118	0.010584769	0.699375318	0.073386226	0.933380937	0.882306247	0.91985228	0.65277016	0.766922067	0.803419427	-0.580381744	-4.240179951	0.658231395	1.262339299	0.027762993	-0.133950989	-0.375170874	0.75174551	0.904673257
lmo0010	3.73256183	0.980810648	2.22378548	4.692978592	2.57130209	1.369428324	0.963065563	1.419374032	1.416347955	2.136111786	1.905534296	2.081235706	2.103434581	1.559326941	-0.362445565	0.349811299	1.946539672	1.781384768	0.251591069	-0.15253156	1.33873171	0.022058477
lmo0011	0	0.521587222	2.956291426	0.213669969	-0.100221139	1.220653006	1.006630973	1.271655265	1.364330064	1.543739771	1.346739501	1.591701279	1.604307606	0.843557144	-4.240179951	0.900566808	3.150666646	-0.038521215	-0.030402555	-0.046326508	1.200593896	1.581367107
lmo0012	7.482989684	1.827017093	2.183673523	0.048491487	-0.402783909	1.130104047	1.146126235	1.187713888	1.338188228	1.706051588	1.521425877	1.728980782	1.774634976	-0.063827217	-0.518908306	1.306559168	2.655775839	-0.736265499	-0.582943578	-0.348796681	1.133655253	1.829069859
lmo0013	0	5.818634902	2.848220598	1.181321191	1.031478157	2.602639688	3.706756779	3.07633499	2.990698017	2.442682022	2.278825364	3.233263489	3.004992757	1.622415497	-0.554532216	3.903861888	0.786161881	0.1427191	0.030358072	3.410307397	2.716728295	1.423923109
lmo0014	6.789092812	3.368418584	2.743327745	0.288481093	0.144979973	2.276637478	3.74634325	2.700561861	2.679093526	2.436758192	2.244932587	3.02006129	2.934847459	1.651580522	0.928550671	3.37305458	0.745682811	-0.561825016	-0.263325644	3.047504526	2.599893882	1.881086817
lmo0015	0	3.072097008	2.98198829	-0.092910162	-0.735359249	2.703130496	4.199329763	3.091420629	3.062099613	2.937842707	2.737352618	3.479228509	3.370630626	1.60831055	-4.240179951	3.038311404	1.509969011	-1.111853727	-1.02886039	3.196043049	3.016207857	2.641544853
lmo0016	6.273536319	2.387484045	2.503995737	0.404009146	0.043114554	2.546952207	4.284684479	2.916290996	2.891400469	2.528680402	2.361327686	3.121029593	3.107374046	0.644008659	-4.240179951	3.30398194	1.995661064	-1.896809264	-0.681365631	3.220504655	2.66548507	1.97581449
lmo0017	3.524920365	-4.799206129	-4.235575078	-0.704782372	-0.20300106	-1.88656224	-1.225345431	-1.567316601	-1.459187667	-1.710972347	-1.917324558	-1.538219358	-1.55332206	-0.533666427	-0.57008703	-4.150611915	-3.75295489	-1.001569028	-0.767016572	-3.813303352	-1.623512609	-2.700156162
lmo0018	0	-0.084052574	-0.667410647	-0.958781548	-0.347129354	-1.997244173	-0.67671244	-1.648747475	-1.576276988	-1.417207641	-1.525810227	-1.274097637	-1.315834035	-0.582041932	-4.240179951	-0.972394003	-3.110789877	-0.59953802	-0.434179618	-0.262092271	-1.70807402	-0.349646233
lmo0019	0	-0.635388145	-3.305148513	-0.303504012	-0.544294629	-3.984266151	-1.860194324	-2.624513539	-3.418111205	0.050699759	0.76377187	-0.200134824	0.20264656	-0.648345185	0.874912707	1.292034391	2.118309602	0.942532473	-0.454467131	-1.486249665	-3.056739789	-0.711947175
lmo0020	0	-1.664587707	-1.962838584	-0.591244473	-0.525874311	-1.497581721	-0.09075885	-1.923559657	-1.776390849	-2.121563484	-1.840790962	-2.655752458	-3.223252391	-1.555659291	-4.240179951	-1.943731795	-0.158290301	-0.704985792	-0.738455457	0.314172368	-1.686019237	-2.157958993
lmo0021	0	-3.099871078	-2.758632448	1.660267378	1.993833651	-2.220900885	0.509813378	-2.832288938	-2.512313564	-2.108498836	-1.872098169	-2.287771773	-3.215443468	-1.160197936	1.9068556	-3.061453753	1.045915835	0.770116867	0.252075475	0.917931521	-2.279339504	-2.330128736
lmo0022	0	-4.576740681	-2.555844584	-1.991605395	-1.203075439	-4.187398182	-1.069482755	-4.485525631	-4.472843956	-4.034993989	-3.674111292	-2.287771773	-3.442556334	-0.730430194	-4.240179951	-4.081058311	-0.558651224	-1.28119655	-0.790893077	-0.670983955	-3.789802444	-2.586081711
lmo0023	4.001862995	-4.576740681	-5.080560543	-2.48657401	-1.450951192	-4.187398182	-1.936154963	-4.485525631	-4.472843956	-3.233508482	-4.128437922	-2.287771773	-3.442556334	-0.482300176	-4.240179951	-4.798419348	-2.27601226	-1.261591993	-1.056874766	-1.729634412	-3.789802444	-2.586081711
lmo0024	0	-4.896942395	-4.538033308	-1.812802243	-1.493386458	-4.187398182	-1.560971749	-4.485525631	-4.472843956	-3.233508482	-4.433907594	-2.287771773	-3.442556334	0.233873335	-4.240179951	-4.453070146	-0.733485025	-1.708417514	-1.165399223	-1.895638216	-3.789802444	-2.586081711
lmo0025	0	-2.46720654	-2.569060204	-2.519394188	-1.38690983	-4.187398182	-1.715094351	-4.856290954	-5.359292498	-3.562782781	-2.250809685	-2.287771773	-3.610833725	-0.860332781	-4.240179951	-0.484097042	0.720914906	-0.278470626	-0.304035093	-1.909726937	-3.789802444	-1.650303375
